Unnamed: 0,tic,date,high,low,open,close,adjcp,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30,pct_return,adjcp_filtered,pct_return_filtered,label,stock_type
0,BTC,2020-09-10 23:59:59,10503.9125262,10238.1358906,10242.3301347,10363.1390401,10363.1390401,-0.0116575590593287,0.0135840584165933,-0.0120622862451523,0.0,0.0117933175470106,-0.0082750273047743,0.0199429802070865,0.0515681093085904,0.0683971575429291,0.0842805223332765,0.0930092037059102,0.0,10363.181327639335,0.00011251341969134533,2,0
1,BTC,2020-09-11 23:59:59,10434.9225461,10140.8366858,10369.0283892,10400.9146854,10400.9146854,-0.0030657203875307,0.0032696990340415,-0.0250053007323554,0.0,0.0036451933293402,-0.0095586119478083,0.0011479592238903,0.0418360338035916,0.0583591042499409,0.0732142951008847,0.0852448425776029,0.003645193329340213,10360.841285190749,0.0031342676862736057,2,0
2,BTC,2020-09-12 23:59:59,10578.8382504,10292.3865099,10409.8617874,10442.1706031,10442.1706031,-0.0030940708525111,0.0130880496493159,-0.0143441530399371,0.0,0.0039665663018952,-0.0120810947239788,-0.0121145698052897,0.03069494241215,0.0483231213427213,0.0630402661205875,0.0766733490131812,0.003966566301895735,10391.248878748293,0.005687789918585926,2,0
3,BTC,2020-09-13 23:59:59,10577.2152413,10224.3299006,10452.3990309,10323.7557975,10323.7557975,0.0124608946514555,0.0245510886514168,-0.00963078736559,0.0,-0.0113400565936786,0.0029746716584906,-2.3410854028460548e-05,0.0348770999594798,0.0533208157319358,0.0696753121268316,0.0843569452560626,-0.011340056593678427,10475.019084255082,0.007407863928395554,2,0
4,BTC,2020-09-14 23:59:59,10800.0110604,10266.008771,10328.7341116,10680.8374328,10680.8374328,-0.0329658908690735,0.0111577044730619,-0.0388385896152763,0.0,0.0345883457826916,-0.0223459932352356,-0.0318721233397482,-0.0061540325235311,0.0148981354501604,0.0294291441712915,0.0444069577025971,0.034588345782691876,10611.463751892203,0.00806084246418983,2,0
5,BTC,2020-09-15 23:59:59,10938.6320402,10656.4603435,10677.7548513,10796.9509861,10796.9509861,-0.0110397958602806,0.0131223207628152,-0.013012066349182,0.0,0.0108712031271465,-0.0248241457671758,-0.0364729028896189,-0.0222996666537276,0.0007817377638246,0.0154110942285663,0.0297918835901704,0.010871203127146511,10776.610572278592,0.007589165770503637,2,0
6,BTC,2020-09-16 23:59:59,11100.1243423,10704.8843495,10797.7620187,10974.9048915,10974.9048915,-0.0161407205393823,0.0114096160320242,-0.0246034516626316,0.0,0.0164818665592807,-0.0301762022153374,-0.045767570321181,-0.0442002831000113,-0.0170332344537931,-0.0036299087416105,0.0092080707710673,0.01648186655928119,10930.358970909185,0.006128338603413744,2,0
7,BTC,2020-09-17 23:59:59,11037.4211271,10774.6276667,10973.2522347,10948.9899152,10948.9899152,0.002215941350564,0.0080766547950907,-0.015924962014801,0.0,-0.0023612939297609,-0.01862291518754,-0.0382169625390832,-0.044769595355352,-0.017417007797702,-0.0038868654019783,0.008423720691528,-0.0023612939297606994,11029.104070952886,0.003986394101084731,2,0
8,BTC,2020-09-18 23:59:59,11034.908069,10829.6568158,10951.8200208,10944.5858045,10944.5858045,0.0006609858453505,0.0082526891481686,-0.0105009902387304,0.0,-0.0004022389950227,-0.0068830378623399,-0.0304009778710123,-0.0401256356915856,-0.0195903720359926,-0.0065195286636303,0.0063512758961377,-0.0004022389950223415,11039.52999544249,0.00158459148901396,2,0
9,BTC,2020-09-19 23:59:59,11134.0927157,10909.6183675,10933.7526485,11094.3462761,11094.3462761,-0.0144752672760861,0.0035825850943218,-0.0166506348371286,0.0,0.013683521174316,-0.0128345283152685,-0.0358098370992668,-0.0495823212716027,-0.0356061514310208,-0.0209102509435599,-0.0095888989856488,0.013683521174316482,10952.613110562084,-0.0006302862641987593,2,0
10,BTC,2020-09-20 23:59:59,11095.8697916,10814.4770514,11095.8697916,10938.2712894,10938.2712894,0.0144079898944109,0.0144079898944109,-0.0113175322429575,0.0,-0.0140679750582717,0.0038350069064982,-0.0167941090854106,-0.0313359860711106,-0.0252397695746988,-0.0089515302194861,0.0025493207923104,-0.014067975058271287,10794.484613107392,-0.0022828950276854946,2,0
